id,host_since,host_response_rate,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location
21955,2014,100,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,4,2,1,79,6,30,2,5,5,4.5
12222,2012,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,5,1,2,121,7,1125,2,5,5,5
186,2011,0,X Ostia/Acilia,Entire rental unit,Entire home/apt,2,1,1,36,7,365,2,5,5,5
16026,2015,100,VIII Appia Antica,Entire rental unit,Entire home/apt,4,1,2,70,7,1125,2,5,5,5
21836,2021,100,IX Eur,Entire rental unit,Entire home/apt,2,1,1,50,7,1125,2,5,4.5,4.5
14807,2019,20,I Centro Storico,Private room in bed and breakfast,Private room,2,1,1,90,7,15,2,5,5,5
1390,2012,50,I Centro Storico,Private room in guesthouse,Private room,2,1,1,50,7,180,2,4.5,4,5
527,2012,100,VII San Giovanni/Cinecitta,Private room in rental unit,Private room,2,1,1,25,7,40,2,5,5,4.5
4784,2014,90,I Centro Storico,Private room in rental unit,Private room,2,1,1,85,7,360,2,5,4,5
4020,2015,100,I Centro Storico,Entire rental unit,Entire home/apt,4,2,2,350,7,1125,2,4.5,5,4.5
11943,2017,0,XIV Monte Mario,Entire rental unit,Entire home/apt,10,2,4,200,7,60,2,4,5,3
7732,2015,93,VII San Giovanni/Cinecitta,Private room in rental unit,Private room,1,2,1,30,7,30,2,4.5,3.5,4.5
13108,2015,93,VII San Giovanni/Cinecitta,Private room in rental unit,Private room,1,2,1,35,7,30,2,4,3.5,4.5
19269,2015,88,III Monte Sacro,Entire rental unit,Entire home/apt,2,1,1,40,10,10,2,3.5,3,3
14246,2018,67,VII San Giovanni/Cinecitta,Entire rental unit,Entire home/apt,6,2,3,77,10,60,2,5,5,5
9100,2014,100,II Parioli/Nomentano,Entire rental unit,Entire home/apt,2,1,1,100,14,1125,2,4,4.5,4.5
10705,2014,100,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,80,15,365,2,5,5,5
22668,2012,96,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,50,15,60,2,4,3.5,5
7038,2008,100,XI Arvalia/Portuense,Entire rental unit,Entire home/apt,2,1,2,70,15,365,2,5,5,4.5
21722,2012,96,I Centro Storico,Private room in condominium (condo),Private room,1,1,1,18,15,180,2,2.5,2.5,4
